50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e7280611-40ca-4ed5-8e4a-03ffb85c8c3e,366,,,"[60.0, 44.9]",3895302,5,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,12,Werder Bremen,176,['ef429927-f669-4b1e-bd6d-310649fd970f'],44,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:05:44.180,Foul Committed,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,85eec3d3-ce3b-4aac-ad98-18d3768012b5,495,,,"[63.7, 53.5]",3895302,8,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Robert Andrich,9195.0,Left Defensive Midfield,18,Werder Bremen,176,['06715acb-0dee-4516-94b3-28113d31ff6d'],49,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:08:49.271,Foul Committed,
,,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,243727fa-7099-484e-9f2e-613a9bc4d178,559,,,"[84.8, 11.2]",3895302,10,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,21,Werder Bremen,176,"['a2269cdd-8e6d-42e8-ab20-7e791e644f30', 'bcdd42de-e885-4f73-aae0-65d19c35cdbc']",15,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:10:15.978,Foul Committed,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,54316c2e-cec4-4b04-9872-accd7fe5cb5b,723,,,"[69.9, 74.7]",3895302,13,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Julián Malatini,51769.0,Right Center Back,28,Bayer Leverkusen,904,['7aec1c63-11f9-4049-888f-e186edf86cbd'],57,,,,,,,,,,,,,,,Werder Bremen,176,00:13:57.733,Foul Committed,
,,,,,,,,,,,,True,,,,,0.0,True,,,,,,,,,,,,3bc80974-5c34-4692-8051-671d6311d89d,778,,,"[76.9, 49.2]",3895302,14,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Amine Adli,33401.0,Left Attacking Midfield,30,Werder Bremen,176,['166d1cf1-76dd-4a48-b8aa-ec3996ce05d6'],48,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:14:48.166,Foul Committed,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dbdc285a-9eb8-4390-adee-c78dd82e966b,947,,,"[63.2, 33.3]",3895302,17,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Romano Schmid,8784.0,Left Center Midfield,36,Bayer Leverkusen,904,['a0f9e590-ad1c-42be-bb36-b03449228fc1'],45,,,,,,,,,,,,,,,Werder Bremen,176,00:17:45.870,Foul Committed,
,,,,,,,,,,,,,,,,,0.0,,,True,,,,,,,,,,aba18f8f-cfe0-4fe8-8b24-d2b070b3b37c,1190,,,"[9.4, 41.9]",3895302,21,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Julián Malatini,51769.0,Right Center Back,41,Bayer Leverkusen,904,['bc7dd1b9-e21b-4808-9713-ab40a3834663'],29,,,,,,,,,,,,,,,Werder Bremen,176,00:21:29.222,Foul Committed,
,,,,,,,,,,,,,,,,,0.0,,Yellow Card,,,,,,,,,,,2165c9f1-ad6d-427f-940c-4959005217c1,1384,,,"[83.5, 70.0]",3895302,30,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Amine Adli,33401.0,Left Attacking Midfield,49,Werder Bremen,176,"['87819ecf-7de8-4a65-a477-578e88ee2562', '8928916f-5f42-4d35-8e42-70bf403367f5']",22,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:30:22.971,Foul Committed,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,17ce0370-1732-429e-899e-9fa2ed7e515c,1501,,,"[64.3, 37.5]",3895302,33,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Christian Groß,31100.0,Center Back,54,Bayer Leverkusen,904,['f449b6f6-b8fe-4b45-85c5-cf1b6bbfc884'],2,,,,,,,,,,,,,,,Werder Bremen,176,00:33:02.965,Foul Committed,
,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,,,0149dc73-5609-4b8c-8e59-dc5f3b83d36b,1576,,,"[35.9, 70.2]",3895302,35,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Leonardo Bittencourt,8826.0,Right Center Midfield,55,Bayer Leverkusen,904,['eb938b6e-ee37-4092-9ab6-a220c389934a'],40,,,,,,,,,,,,,,,Werder Bremen,176,00:35:40.431,Foul Committed,
,,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,0785f0f1-0a5c-4ef9-8555-fea3102157d2,1705,,,"[77.4, 56.1]",3895302,37,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,59,Werder Bremen,176,['512efc51-0140-429e-9c73-50c076948101'],51,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:37:51.073,Foul Committed,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4e94f404-47cb-435e-8942-6b3e378f7ace,1969,,,"[85.3, 9.1]",3895302,42,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,62,Werder Bremen,176,"['6f0d7eb2-8e91-49ce-bed2-0bc688f3ea0e', 'aacd15b1-92ea-4069-b9ea-8aaac85c4bb5']",4,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:42:04.044,Foul Committed,
,,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,17db02e2-5249-43bf-9e67-be4fde694fbd,2477,,,"[59.9, 40.3]",3895302,48,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Florian Wirtz,40724.0,Left Attacking Midfield,73,Werder Bremen,176,"['35a5cb73-cad0-4c1f-8e5d-ccb974840b6a', 'e81b50bc-5653-44b1-96a4-adf79e184f42']",8,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:03:08.672,Foul Committed,
,,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,46579fa6-05d6-486c-adfb-eb37788b968c,3157,,,"[85.1, 48.4]",3895302,64,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Granit Xhaka,3500.0,Right Defensive Midfield,101,Werder Bremen,176,['41d129e7-1159-4cd8-878a-12f1fec929ea'],33,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:19:33.913,Foul Committed,
,,,,,,,,,,,,True,,,,,0.0,True,,,,,,,,,,,,c32ed880-5032-4a0c-8bcc-f872d96b1d33,3187,,,"[31.2, 36.4]",3895302,65,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Senne Lynen,21865.0,Center Defensive Midfield,103,Bayer Leverkusen,904,['69ace1ea-b22c-4e9c-af24-d7d07ff89cb7'],24,,,,,,,,,,,,,,,Werder Bremen,176,00:20:24.562,Foul Committed,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,63586305-7d8d-4275-baf5-eb8e2f66893a,3935,,,"[56.6, 77.4]",3895302,81,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Odilon Kossonou,27133.0,Right Center Back,129,Werder Bremen,176,"['72406c9e-6701-409e-829a-3cd053fa04ec', 'b543455c-0d30-4088-b82e-35a293b83b68']",39,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:36:39.871,Foul Committed,
